;Latitude;Longitude;sum;uncert
4430;"50°7'0.0""";"108°14'0.0""";99,81;1
4431;"50°54'0.0""";"136°36'0.0""";99,4;3
4432;"44°41'20.0""";"134°52'27.0""";99,69;2
4433;"52°54'30.0""";"119°51'0.0""";99,64;2
4434;"54°9'0.0""";"139°35'0.0""";99,91;1
4435;"68°18'0.0""";"155°20'0.0""";99,24;3
4436;"63°0'37.0""";"165°0'48.0""";100,82;3
4437;"46°51'15.0""";"136°58'45.0""";100,45;1
4438;"53°29'30.0""";"157°12'0.0""";100,04;1
4439;"60°41'0.0""";"153°8'0.0""";100,23;1
4440;"54°13'20.0""";"119°45'30.0""";99,6;2
4441;"62°18'0.0""";"145°43'0.0""";99,74;2
4442;"67°42'0.0""";"164°45'0.0""";100,36;1
4443;"62°35'0.0""";"140°14'0.0""";99,98;1
4444;"55°6'0.0""";"131°19'0.0""";99,97;1
4445;"47°12'25.0""";"137°27'25.0""";100,98;3
4446;"47°45'55.0""";"138°8'0.0""";100,52;2
4447;"62°21'0.0""";"140°23'0.0""";100,25;1
4448;"47°26'35.0""";"138°22'0.0""";99,73;2
4449;"46°16'20.0""";"137°8'0.0""";99,67;2
4450;"52°26'30.0""";"115°21'50.0""";100,01;1
4451;"53°9'20.0""";"119°20'0.0""";99,55;2
4452;"57°46'0.0""";"139°38'0.0""";100,19;1
4453;"48°44'0.0""";"138°29'0.0""";99,52;2
4454;"63°20'48.0""";"165°30'45.0""";100,5;2
