;Y_UTM;X_UTM;ZoneNumber;ZoneLetter;Latitude;Longitude;past_mer;Y;X;SiO2;TiO2;Al2O3;Fe2O3;FeO;MnO;MgO;CaO;Na2O;K2O;P2O5;l.i.;oth;sum;hs;time;Fe-number;Mali;molmass_Al2O3;molmass_CaO;molmass_P2O5;molmass_Na2O;molmass_K2O;moles_Al2O3;moles_CaO;moles_P2O5;moles_Na2O;moles_K2O;ASI;classificated
2393;569772,7114;5124846,762;53;T;"46°16'25.0""";"135°54'20.0""";;46,27361111;135,9055556;70,50144552;0,358887449;14,67450902;1,106569634;2,54211943;0,279134682;1,4255807;2,123417406;2,362675705;4,326587579;0,009969096;0,279134682;0,009969096;100;0,01;K2;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,143924176;0,037864076;7,02346E-05;0,038119969;0,045929804;peraluminous;magnesian/calc-alkalic/peraluminous
2394;500210,946;6987229,531;58;V;"63°0'53.0""";"165°0'15.0""";;63,01472222;165,0041667;70,68172731;0,359856058;14,12435026;1,93922431;1,949220312;0,119952019;0,619752099;2,079168333;3,768492603;3,448620552;0,169932027;0,729708117;0,009996002;100;0,19;K1;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,138528347;0,037075042;0,00119721;0,060801752;0,03660956;peraluminous;magnesian/calc-alkalic/peraluminous
2395;610706,6597;7314626,136;54;W;"65°56'0.0""";"143°26'0.0""";;65,93333333;143,4333333;70,47040064;0,24915288;16,70320909;1,046442097;1,734104046;0,039864461;0,93681483;1,734104046;3,258919673;3,458241977;0,009966115;0,348814032;0,009966115;100;0,1;K1;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,163821195;0,030921969;7,02136E-05;0,052580182;0,036711698;peraluminous;magnesian/calc-alkalic/peraluminous
2396;455652,8522;5520282,582;49;U;"49°50'0.0""";"110°23'0.0""";;49,83333333;110,3833333;70,86298487;0,451037386;14,99448732;0,872005613;1,944472286;0,050115265;0,501152651;1,683872908;3,397814974;4,650696602;0,130299689;0,451037386;0,010023053;100;0,01;Tr;ferroan;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,147062449;0,030026264;0,000917991;0,054821152;0,049370452;peraluminous;ferroan/alkali-calcic/peraluminous
2397;649234,4521;5543088,293;54;U;"50°1'17.0""";"143°5'0.0""";;50,02138889;143,0833333;70,59410884;0,199700449;16,30554169;0,459311033;1,088367449;0,219670494;0,918622067;2,156764853;3,56465302;3,634548178;0,099850225;0,639041438;0,11982027;100;0,01;Pg;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,159920966;0,038458717;0,000703468;0,057512956;0,038583314;peraluminous;magnesian/calc-alkalic/peraluminous
2398;718641,4599;5235760,054;53;T;"47°14'20.0""";"137°53'20.0""";;47,23888889;137,8888889;70,56592474;0,279469009;13,37458828;0,239544865;3,114083242;0,09981036;1,866453738;1,796586486;3,573210899;4,291845494;0,009981036;0,77852081;0,009981036;100;0,01;K2;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,131174856;0,032036136;7,03187E-05;0,057651031;0,045560993;metaluminous;magnesian/calc-alkalic/metaluminous
2399;574990,4062;5187112,695;48;T;"46°50'0.0""";"105°59'0.0""";;46,83333333;105,9833333;71,02381192;0,150708329;14,17663016;0,904249975;0,643022204;0,020094444;0,4119361;2,059680498;2,371144379;6,952677585;0,130613885;1,145383302;0,010047222;100;0,01;J3;magnesian;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,139041096;0,036727541;0,000920205;0,038256605;0,073807618;metaluminous;magnesian/alkali-calcic/metaluminous
2400;451855,6033;5711836,232;49;U;"51°33'20.0""";"110°18'20.0""";;51,55555556;110,3055556;70,92824887;0,471650778;13,4771701;1,424987456;2,237832413;0,060210738;0,702458605;0,732563974;4,816859007;4,716507777;0,080280983;0,34119418;0,010035123;100;0,01;Tr;magnesian;alkalic;101,96;56,08;141,94;61,98;94,2;0,132180954;0,013062838;0,000565598;0,077716344;0,050069085;metaluminous;magnesian/alkalic/metaluminous
2401;690716,2232;5984965,483;50;U;"53°58'40.0""";"119°54'30.0""";;53,97777778;119,9083333;70,72658127;0,200160128;15,07205765;2,331865492;0,770616493;0,020016013;0,420336269;0,860688551;4,8438751;4,183346677;0,010008006;0,550440352;0,010008006;100;0,07;Tr;magnesian;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,147823241;0,015347513;7,05087E-05;0,078152228;0,0444092;peraluminous;magnesian/alkali-calcic/peraluminous
2402;607567,4581;6950202,539;55;V;"62°40'0.0""";"149°6'0.0""";;62,66666667;149,1;70,54302256;0,529047714;14,92313835;1,23777201;1,976442404;0,049910162;0,758634458;1,127969655;3,104412058;4,39209423;0,039928129;0,838490717;0,479137552;100;0,11;J3;magnesian;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,146362675;0,020113582;0,000281303;0,050087319;0,046625204;peraluminous;magnesian/alkali-calcic/peraluminous
2403;463415,4433;6710995,028;56;V;"60°32'0.0""";"152°20'0.0""";;60,53333333;152,3333333;70,98945254;0,291310899;14,22400804;1,225514817;2,079357107;0,100452034;0,873932697;0,76343546;4,821697639;3,214465093;0,070316424;1,336012054;0,010045203;100;0,07;K2;magnesian;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,139505767;0,013613328;0,000495395;0,077794412;0,034123833;peraluminous;magnesian/alkali-calcic/peraluminous
2404;482215,2457;6178292,182;51;U;"55°45'0.0""";"122°43'0.0""";;55,75;122,7166667;70,33645232;0,328488951;14,57296436;0,79633685;1,841528967;0,049771053;0,656977902;1,811666335;3,702966355;4,977105316;0,258809476;0,656977902;0,009954211;100;0,01;J;magnesian;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,14292825;0,032305035;0,001823372;0,059744536;0,052835513;peraluminous;magnesian/alkali-calcic/peraluminous
2405;579016,4481;6247778,856;50;V;"56°22'5.0""";"118°16'45.0""";;56,36805556;118,2791667;70,97940733;0,281265696;13,71170266;1,215469613;2,019085886;0,040180814;0,683073832;1,737820191;3,545956806;5,022601708;0,110497238;0,642893019;0,010045203;100;0,01;Mz;magnesian;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,134481195;0,030988235;0,000778478;0,057211307;0,053318489;metaluminous;magnesian/alkali-calcic/metaluminous
2406;573874,8625;6765414,535;55;V;"61°1'0.0""";"148°22'0.0""";;61,01666667;148,3666667;70,5471246;0,53913738;14,24720447;1,088258786;1,537539936;0,079872204;0,688897764;1,447683706;4,412939297;4,652555911;0,08985623;0,579073482;0,08985623;100;0,01;K1;magnesian;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,139733273;0,025814617;0,000633058;0,071199408;0,04939019;metaluminous;magnesian/alkali-calcic/metaluminous
2407;305644,8228;5909611,653;52;U;"53°18'0.0""";"126°5'0.0""";;53,3;126,0833333;70,65293471;0,249975002;15,33846615;0,679932007;1,499850015;0,029997;0,919908009;2,629737026;4,809519048;3,00969903;0,089991001;0,079992001;0,009999;100;0,01;K1;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,150436114;0,0468926;0,000634007;0,077597919;0,031950096;metaluminous;magnesian/calc-alkalic/metaluminous
2408;397731,8628;6780980,632;56;V;"61°9'0.0""";"151°6'0.0""";;61,15;151,1;71,27004943;0,34298396;12,50882679;3,328961969;1,503076768;0,262281852;1,503076768;2,017552709;4,045193181;2,602642994;0,14122869;0,464037123;0,010087764;100;0,12;K2;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,122683668;0,035976332;0,000994989;0,065266105;0,027628907;metaluminous;magnesian/calc-alkalic/metaluminous
