;Latitude;Longitude;QAPF
327;"54ø49'15.0""";"117ø45'20.0""";monzo granite
328;"54ø12'10.0""";"119ø24'0.0""";syeno granite
329;"53ø56'0.0""";"115ø39'10.0""";monzo granite
330;"67ø18'30.0""";"156ø52'0.0""";monzo granite
331;"61ø42'0.0""";"165ø1'0.0""";granodiorite
332;"70ø10'0.0""";"140ø39'0.0""";monzo granite
333;"53ø53'40.0""";"115ø37'10.0""";monzo granite
334;"53ø27'0.0""";"118ø51'30.0""";monzo granite
335;"44ø47'0.0""";"133ø0'0.0""";monzo granite
336;"64ø52'0.0""";"175ø31'0.0""WW";monzo granite
337;"46ø37'0.0""";"104ø44'0.0""";monzo granite
338;"67ø56'0.0""";"178ø5'0.0""";monzo granite
339;"69ø58'0.0""";"140ø41'0.0""";monzo granite
340;"50ø15'0.0""";"110ø5'0.0""";monzo granite
341;"63ø37'0.0""";"147ø53'0.0""";monzo granite
342;"44ø26'55.0""";"134ø20'2.0""";monzo granite
343;"53ø14'0.0""";"125ø37'0.0""";monzo granite
344;"53ø15'20.0""";"111ø56'45.0""";monzo granite
345;"69ø18'0.0""";"143ø5'0.0""";monzo granite
346;"53ø23'5.0""";"116ø58'40.0""";monzo granite
347;"51ø33'0.0""";"135ø38'0.0""";monzo granite
348;"53ø43'50.0""";"115ø18'50.0""";monzo granite
349;"53ø55'30.0""";"115ø42'30.0""";monzo granite
350;"61ø18'0.0""";"149ø10'0.0""";monzo granite
351;"66ø9'0.0""";"129ø12'0.0""";monzo granite
352;"69ø46'0.0""";"171ø38'0.0""";monzo granite
353;"48ø45'0.0""";"102ø37'30.0""";monzo granite
354;"44ø29'10.0""";"136ø6'40.0""";monzo granite
355;"62ø37'0.0""";"155ø40'0.0""";monzo granite
356;"61ø43'0.0""";"150ø30'0.0""";monzo granite
357;"53ø54'50.0""";"115ø33'0.0""";monzo granite
358;"52ø11'40.0""";"110ø21'40.0""";monzo granite
359;"66ø17'0.0""";"139ø47'0.0""";monzo granite
360;"51ø42'0.0""";"113ø12'0.0""";monzo granite
361;"69ø3'0.0""";"174ø10'0.0""";monzo granite
362;"52ø30'0.0""";"110ø23'30.0""";monzo granite
363;"51ø27'0.0""";"140ø26'0.0""";syeno granite
364;"51ø28'0.0""";"113ø22'0.0""";monzo granite
365;"53ø53'25.0""";"115ø34'20.0""";monzo granite
366;"50ø56'0.0""";"113ø18'0.0""";granodiorite
367;"57ø46'0.0""";"138ø47'0.0""";monzo granite
368;"65ø28'0.0""";"161ø16'0.0""";monzo granite
369;"49ø3'0.0""";"139ø2'0.0""";monzo granite
370;"53ø47'20.0""";"119ø35'54.0""";monzo granite
371;"69ø2'0.0""";"174ø7'0.0""";monzo granite
372;"69ø56'0.0""";"171ø38'0.0""";monzo granite
373;"65ø53'0.0""";"176ø50'0.0""WW";monzo granite
374;"61ø9'0.0""";"151ø3'0.0""";granodiorite
375;"53ø18'0.0""";"112ø51'0.0""";monzo granite
376;"63ø14'0.0""";"152ø11'0.0""";monzo granite
377;"67ø59'18.0""";"177ø28'30.0""";monzo granite
378;"47ø45'0.0""";"108ø49'30.0""";monzo granite
379;"53ø55'30.0""";"115ø42'30.0""";monzo granite
380;"52ø26'0.0""";"115ø29'0.0""";monzo granite
381;"51ø40'0.0""";"113ø18'0.0""";monzo granite
382;"59ø51'0.0""";"144ø10'0.0""";monzo granite
383;"68ø2'0.0""";"178ø42'0.0""WW";monzo granite
384;"51ø43'0.0""";"108ø2'0.0""";monzo granite
