;Lat_deg;Lat_min;Lat_sec;Long_deg;Long_min;Long_sec;Latitude;Longitude;past_mer;type_granite;time;massif;sampler;others;sampler+year
3916;52;36;;135;49;;"52ø36'0.0""";"135ø49'0.0""";;Granodiorite;K;Yasnensky massif;;;A.B.Eyrish,1963
3917;64;52;;178;12;;"64ø52'0.0""";"178ø12'0.0""";;Granodiorite;K;;MISergutina;Det:H2o+-0.69;V.I.Shkursky,1962
3918;62;5;;139;28;;"62ø5'0.0""";"139ø28'0.0""";;Quartz monzonite;K;Dzhotyskan massif;E.M.Antonova;;I.G.Volkodav,1966
3919;53;30;;157;18;;"53ø30'0.0""";"157ø18'0.0""";;Plagiogranite;Mz;;M.D.Yarotskaya;Oth:so3-0.ll;Z.A.Abdrakhimov,1966
3920;47;7;;137;21;30;"47ø7'0.0""";"137ø21'30.0""";;Diorite;K;;;;I.Z.Bur'yanova,1968
3921;53;3;;139;3;;"53ø3'0.0""";"139ø3'0.0""";;Granodiorite;K;Dalzhin massif;;;E.P.Zarembsky,1961
3922;46;30;12;135;53;25;"46ø30'12.0""";"135ø53'25.0""";;Granodiorite-porphyry;Pg;;;;A.N.Ivakin,1965
3923;43;11;17;133;4;50;"43ø11'17.0""";"133ø4'50.0""";;Px-Amf granodiorite;Pg;Pugdin massif;V.V.Zvyagina;Oth:S03-0.10;V.A.Yarmolyuk,1946
3924;63;19;50;163;49;10;"63ø19'50.0""";"163ø49'10.0""";;Quartz monzonite;K;;;;A.A.Alekseev 1968
3925;66;2;;142;14;;"66ø2'0.0""";"142ø14'0.0""";;Granodiorite;K;Chimalgin massif;;;A.D.Vas'kovsky,1939
3926;67;55;;179;19;;"67ø55'0.0""";"179ø19'0.0""";;Granodiorite;K;Tyrkynay massif;;Det.:H2o+-1.32.Oth.:C02-0.35;E.G.Bordyugov,1973
3927;67;48;;178;38;;"67ø48'0.0""";"178ø38'0.0""WW";W;Granodiorite porphyraceous;K;;;Oth.:Rb20-0.03,Li20-0.0l,Ba0-0.08 9 Sr-0.05,F-0.06,ZrO-0.04;Z.G.Karaeva,1967
3928;50;46;;136;35;;"50ø46'0.0""";"136ø35'0.0""";;Granodiorite-porphyry;K;;;;V.V.Onikhimovsky,1959
3929;55;58;;131;34;;"55ø58'0.0""";"131ø34'0.0""";;Granodiorite;K;;;Zeya-Maya batholite;G.B.Gimmel'farb,1961
3930;53;5;;140;0;;"53ø5'0.0""";"140ø0'0.0""";;Bt-Hb granodiorite;Pg;Chuygin massif;;Det.:co2-0.20.Oth.:so3-0.0l;A.T.Terteryan,1973
3931;66;5;;133;26;;"66ø5'0.0""";"133ø26'0.0""";;Granodiorite;K;Tiryakh-Chokhchur massif;N.D.Tikhon'kikh;;V.A.Kamaletdinov,1968
3932;52;51;10;119;45;;"52ø51'10.0""";"119ø45'0.0""";;Granodiorite porphyraceous;J;Malinovsky stock;N.A.Lebedeva;;V.S.Shmarlin,1968
3933;47;23;48;138;3;6;"47ø23'48.0""";"138ø3'6.0""";;Granodiorite;K;Karakty massif;;Det.:H2o+-0.59;F.G.Fedchin,1975
3934;66;20;;134;31;;"66ø20'0.0""";"134ø31'0.0""";;Granodiorite;K;Ketekhtyakh massif;Egorova;;G.L.Padalka,1957
3935;66;32;;166;30;;"66ø32'0.0""";"166ø30'0.0""";;Granodiorite;K;Gremuchy massif;;;B.F.Palymsky,1964
