;Latitude;Longitude;time;area;0
3187;"66ø27'0.0""";"138ø30'0.0""";K;3;0
3188;"60ø52'0.0""";"153ø29'0.0""";K;3;0
3189;"55ø31'0.0""";"135ø59'0.0""";K;2;0
3190;"60ø35'0.0""";"138ø29'0.0""";K;3;0
3191;"54ø55'20.0""";"118ø38'20.0""";Tr;1;0
3192;"69ø28'0.0""";"145ø40'0.0""";K;3;0
3193;"50ø12'0.0""";"109ø31'0.0""";Tr;1;0
3194;"52ø52'0.0""";"117ø20'20.0""";Tr;1;0
3196;"49ø37'0.0""";"112ø16'0.0""";J;1;0
3197;"63ø55'0.0""";"144ø8'0.0""";K;3;0
3198;"50ø52'0.0""";"108ø27'0.0""";Tr-J;1;0
3199;"67ø0'0.0""";"136ø20'0.0""";K;3;0
3200;"61ø19'0.0""";"152ø24'0.0""";J;3;0
3201;"68ø26'0.0""";"179ø49'0.0""WW";K;5;0
3202;"67ø4'0.0""";"177ø38'0.0""WW";K;5;0
3203;"62ø48'0.0""";"139ø25'0.0""";K;3;0
3204;"61ø19'0.0""";"149ø25'0.0""";K;3;0
3205;"65ø31'0.0""";"179ø5'0.0""";K;4;0
3206;"48ø57'0.0""";"132ø17'0.0""";K;2;0
3207;"45ø49'36.0""";"136ø43'10.0""";K;2;1
3208;"50ø14'0.0""";"110ø5'0.0""";J;1;0
3209;"54ø21'0.0""";"118ø5'0.0""";Tr-J;1;1
3210;"65ø51'0.0""";"142ø19'0.0""";K;3;1
3211;"44ø28'30.0""";"134ø45'40.0""";K;2;0
3212;"69ø26'0.0""";"145ø28'0.0""";K;3;0
3213;"68ø54'0.0""";"172ø19'0.0""";K;4;0
3214;"69ø21'0.0""";"162ø42'0.0""";K;4;2
3215;"50ø42'0.0""";"136ø15'0.0""";K;2;1
3216;"51ø27'0.0""";"108ø42'0.0""";Tr-J;1;0
3217;"45ø10'0.0""";"136ø13'0.0""";Pg;2;1
3218;"69ø40'0.0""";"171ø30'0.0""";K;4;0
3219;"66ø37'0.0""";"141ø4'0.0""";K;3;0
3220;"60ø11'0.0""";"149ø50'0.0""";K;3;0
3221;"52ø36'0.0""";"133ø59'0.0""";K;2;0
3222;"52ø26'25.0""";"115ø21'25.0""";Tr;1;0
3223;"62ø24'0.0""";"149ø15'0.0""";K;3;0
3224;"67ø58'0.0""";"136ø37'0.0""";K;3;0
3225;"65ø38'0.0""";"170ø33'0.0""WW";K;5;0
3227;"62ø37'0.0""";"140ø47'0.0""";K;3;2
3228;"62ø48'0.0""";"139ø25'0.0""";K;3;0
3229;"55ø6'0.0""";"118ø23'25.0""";Tr;1;0
3230;"62ø48'0.0""";"159ø18'0.0""";K;3;0
3231;"61ø46'0.0""";"146ø28'0.0""";J;3;0
3232;"69ø18'0.0""";"162ø35'0.0""";K;4;0
3233;"61ø56'0.0""";"140ø17'0.0""";K;3;0
3234;"53ø23'5.0""";"116ø58'40.0""";J;1;0
3235;"64ø57'0.0""";"140ø14'0.0""";K;3;0
3236;"46ø41'0.0""";"134ø6'10.0""";K;2;0
3237;"65ø36'0.0""";"135ø22'0.0""";K;3;1
3238;"53ø43'30.0""";"115ø20'40.0""";Tr-J;1;1
3239;"43ø48'30.0""";"135ø13'30.0""";Pg;2;0
3240;"69ø50'0.0""";"174ø30'0.0""";K;4;0
3242;"54ø12'40.0""";"119ø48'50.0""";J;1;0
3243;"49ø57'0.0""";"109ø30'0.0""";Mz;1;0
3244;"44ø25'30.0""";"135ø48'0.0""";Pg;2;1
3245;"69ø40'0.0""";"149ø38'0.0""";K;3;0
3246;"52ø52'10.0""";"116ø57'10.0""";Tr;1;0
3247;"63ø1'0.0""";"163ø56'0.0""";K;4;0
3248;"50ø8'0.0""";"139ø43'0.0""";Pg;2;0
3249;"60ø16'0.0""";"151ø10'0.0""";K;3;0
3250;"63ø54'30.0""";"145ø4'0.0""";K;3;0
3251;"68ø1'0.0""";"136ø38'0.0""";K;3;0
3253;"69ø27'0.0""";"143ø15'0.0""";K;3;1
3254;"52ø36'0.0""";"112ø49'0.0""";Tr-J;1;0
3255;"70ø55'0.0""";"161ø32'0.0""";K;4;0
3258;"53ø32'10.0""";"119ø26'30.0""";J;1;0
3259;"69ø36'0.0""";"170ø16'0.0""";K;4;0
3260;"66ø36'0.0""";"133ø33'0.0""";K;3;0
3261;"67ø50'0.0""";"178ø26'0.0""WW";K;5;1
3262;"48ø5'15.0""";"137ø39'20.0""";K;2;2
3263;"63ø19'0.0""";"140ø47'0.0""";K;3;0
3264;"42ø58'25.0""";"134ø4'55.0""";K;2;0
3265;"69ø32'0.0""";"149ø36'0.0""";K;3;0
3266;"53ø44'40.0""";"117ø36'30.0""";J;1;0
3267;"68ø56'0.0""";"166ø17'0.0""";K;4;0
3268;"69ø3'0.0""";"174ø16'0.0""";K;4;0
3269;"63ø44'6.0""";"143ø29'40.0""";K;3;0
3270;"52ø1'0.0""";"112ø35'0.0""";Tr;1;0
3271;"62ø11'0.0""";"139ø53'0.0""";K;3;0
3272;"50ø10'0.0""";"136ø22'0.0""";K;2;0
3273;"62ø9'0.0""";"139ø17'0.0""";K;3;0
3274;"51ø17'0.0""";"136ø18'0.0""";K;2;1
3275;"62ø39'0.0""";"148ø33'0.0""";J;3;0
3276;"49ø43'0.0""";"112ø19'0.0""";J;1;1
3277;"69ø53'0.0""";"140ø18'0.0""";K;3;0
3278;"44ø38'30.0""";"134ø22'5.0""";K;2;1
3280;"47ø11'35.0""";"137ø27'35.0""";K;2;0
3281;"43ø40'20.0""";"135ø13'30.0""";Pg;2;0
3282;"61ø25'0.0""";"150ø15'0.0""";K;3;0
3284;"48ø10'0.0""";"138ø46'0.0""";K;2;0
3285;"62ø11'0.0""";"158ø30'0.0""";K;3;0
3286;"50ø12'0.0""";"108ø17'0.0""";Tr;1;0
3287;"52ø45'30.0""";"116ø45'40.0""";Tr;1;2
3288;"64ø23'0.0""";"137ø28'0.0""";K;3;0
3289;"69ø47'0.0""";"174ø24'0.0""";K;4;0
3290;"52ø33'10.0""";"114ø11'0.0""";Tr;1;0
3291;"44ø7'30.0""";"134ø23'0.0""";K;2;0
3292;"52ø2'0.0""";"112ø39'0.0""";Tr;1;0
3293;"69ø7'0.0""";"162ø7'0.0""";K;4;0
3295;"47ø21'18.0""";"138ø27'12.0""";K;2;1
