114- (62°08' ,152°08')|.Bt granite coarse-grained|.K2|.Upper-Orotukan massif|.P.Faleev|(V.I.Krasnokutsky,1938). 
115- (69°44' ,171°50')|.Granite|.K2|.Northern massif|.Oth.:B2o3-0.0l|(l.N.Zubrev,1952). 
116- (50°44'40",105°18')|.Granite leucocratic fine-grained|.Tr-J1|.Tsagatuy massif|(A.S.Kireev,1968). 
117- (53°18' ,128°58')|.Granite|.K1|(V.F.Zubkov,1962). 
118- (60°46' ,154°21')|.Alaskite|.K2|.Anmannykan massif||.Z.I.Karpicheva|.Det.:H2o+-0.21|(Yu.N.Simonov,1964). 
119- (69°36',150°29')|.Granite porphyraceous fine-grained|.K'|~Ulakhan-Sis massif|.Det.:so3-0.09|(A.V.Artemov,1970). 
120- (48°56' ,106°45')|.Granite|.Tr|(E.V.Mikhaylov,1973) |.0|
121- {61°19',149°19')|.Bt granite medium-grained|.K1|.East-Butugychag massif|.P.V.Artemenko|.Oth.:co2-o.01|(M.P.Krutous,1960). 
122- (46°55' ,105°41')|.Granite fine-grained|.J3 Det.:S-0.02|(U.A.Korchagin,1967). 
123- {52°08'20",116°02'30")|.Granite alkaline|.J3|.Zangan massif|.N.A.Ogneva|(V.A.Gulin,1964). 
124- (52°47'20",110°14'10")|.Granite leucocratic|.Tr-J1|(N.P.Mikhno,1966). 
125- (61°21',151°46')|.Microgranite|.K2|.Dneprovsky massif|.V.I.Noskov|.Oth:co2-0.07|(R.P.Petrov,1945).  
126- (52°06'50",115°59'20")|.Granite leucocratic|.J3|.Zangan massif||.N.A.Ogneva|(V.A.Gulin,1964). 
127- (49°35',108°53')|.Granite alaskitic|.J2|.N.A.Ogneva|(N.P.Kostyakov,1963). 
128- (50°44'20",105°17'30")|.Granite leucocratic|.Tr-J1|.Tsagatuy massif|(A.S.Kireev,1968). 
129- {61°23',151°47')|.Granite-porphyry|.K2|.Dneprovsky massif|.V.I.Noskov|.Oth.:co2-0.02|(R.P.Petrov,1945). 
130- (61°50' ,161°09')|.Bt granite leucocratic coarse-grained|.K1|.Avekon massif|.R.I.Donskaya|(V.N.Lipatov,1958). 
131- (62°02',141°02')|.Granite miarolic|.K1|.Upper-Khalyin massif|.V.S.Zverev|.Oth.:co2-0.04|(I.P.Atlasov,1939). 
132- (43°00',l07°09')|.Granite leucocratic fine-grained|.J2|.Bayan-Tsagan massif|(V.I.Ushakov,1964). 
133- (61°23' ,151°50')|.Granite|(alaskite)|.K2|.Dneprovsky massif|.V.I.Noskov|.Oth.:co2-0.03|(R.P.Petrov,1945). 
134- (67°51' ,179°17'W)|.Granite medium-grained|.K2|.Iul'tin massif|.Det.:H2o+-0.36|(E.G.Bordyugov,1964). 
135- (51°15',113°35')|.Bt granite medium-grained|.J1_2|.V.I.Nikitina|(P.I.Kovalev,1968). 
136- (52°06'50",115°59'20")|.Granite leucocratic subalkaline|.J3|.Zangan massif|.N.A.Ogneva|(V.A.Gulin,1964). 
137- (57°43' ,139°41'}|.Granite subalkaline|.K2|(l.N.Egorov,1970). 
138- (51°27'10",108°44'20")|.Morion-granite|.Tr3-J1|.Krasyukova|.Oth.:so3-0.07|(A.K.Izvekov,1968). 
139- (52°48'40",114°28'50")|.Granite alkaline|.Tr3-J1|(S.P.Smelovsky,1968). 
140- (52°29'40",115°29'50")|.Granite alkaline|.J3|.L.S.Voronova|(R.V.Tsoy,1961). 
141- (52°26'20",117°12'55")|.Granite leucocratic|.Tr|.O.M.Shirokova|(V.Yu.Shenfil,1961). 
142- (52°37'25",115°23'20")|.Granite alkaline|.J3|.L.S.Voronova|(R.V.Tsoy,1961). 
