;Latitude;Longitude;time;area;0
4137;"49ø36'0.0""";"112ø24'0.0""";J;1;3
4138;"53ø23'0.0""";"140ø12'0.0""";K;2;3
4139;"67ø50'0.0""";"178ø37'0.0""WW";K;5;0
4140;"51ø56'0.0""";"138ø45'0.0""";K;2;3
4141;"67ø26'0.0""";"178ø21'0.0""";K;4;4
4142;"63ø7'0.0""";"157ø49'0.0""";K;3;2
4143;"69ø45'0.0""";"136ø56'0.0""";K;3;3
4144;"47ø24'24.0""";"138ø6'54.0""";K;2;3
4145;"69ø58'0.0""";"136ø40'0.0""";K;3;4
4146;"47ø11'40.0""";"137ø28'0.0""";K;2;3
4147;"51ø45'0.0""";"107ø31'30.0""";Tr;1;4
4148;"44ø28'17.0""";"134ø45'40.0""";K;2;3
4149;"50ø21'0.0""";"136ø24'0.0""";K;2;0
4150;"51ø14'0.0""";"113ø7'0.0""";J;1;3
4152;"62ø32'30.0""";"173ø16'0.0""";Mz;4;3
4153;"66ø54'0.0""";"157ø48'0.0""";K;3;3
